Location name,Amount spent (HUF)
Baranya County,119315
Borsod-Abaúj-Zemplén County,154811
Budapest,653038
Bács-Kiskun County,127180
Békés County,85763
Csongrád County,121187
Fejér County,106369
Győr-Moson-Sopron County,116638
Hajdú-Bihar County,184773
Heves County,89687
Jász-Nagykun-Szolnok County,91091
Komárom-Esztergom County,73357
Nógrád County,46574
Pest County,303110
Somogy County,77532
Szabolcs-Szatmár-Bereg County,124499
Tolna County,55202
Unknown,≤100
Vas County,65036
Veszprém County,82754
Zala County,76670
