Location name,Amount spent (EGP)
Al Sharqia Governorate,4497
Alexandria Governorate,1732
Aswan Governorate,209
Asyut Governorate,442
Beheira Governorate,692
Beni Suef Governorate,278
Cairo Governorate,3731
Dakahlia Governorate,943
Damietta Governorate,283
Faiyum Governorate,243
Gharbia Governorate,741
Giza Governorate,893
Ismailia Governorate,722
Kafr el-Sheikh Governorate,645
Luxor Governorate,153
Matrouh Governorate,≤100
Minya Governorate,566
Monufia Governorate,527
New Valley Governorate,≤100
North Sinai Governorate,107
Port Said Governorate,355
Qalyubia Governorate,662
Qena Governorate,345
Red Sea Governorate,181
Sohag Governorate,476
South Sinai Governorate,≤100
Suez Governorate,125
Unknown,≤100
