Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,3296067
Apure,479995
Aragua,3792855
Barinas,2034735
Bolívar (state),3090587
Capital District,9402874
Carabobo,5299386
Cojedes,1500000
Delta Amacuro,19003
Falcón,1285186
Guárico,1021889
Lara,4423443
Miranda (state),3535637
Monagas,1067227
Mérida,1993016
Nueva Esparta,513298
Portuguesa,1014200
Sucre,763298
Trujillo,935788
Táchira,3994057
Unknown,≤100
Vargas,763298
Yaracuy,1363578
Zulia,48796343
