Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,1072766,56
525334380868858,Martín Lousteau,Martín Lousteau,1032576,39
107473468922571,Es hora de levantarse,Es Hora de Levantarse,806343,26
110079031997390,Con Larreta,Con Larreta,690859,26
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,431571,62
100686031576569,Primero la gente,Secretaría de Medios y Comunicación Pública,358929,20
256803881073240,Gobierno de Salta,Gobierno de Salta,228113,4
231635610267892,Policía de la Ciudad,Gobierno de la Ciudad de Buenos Aires,220546,15
101185599412309,Marcos para Neuquén,Marcos para Neuquen,159583,30
135948233146402,Municipio de Lomas de Zamora,Municipalidad de Lomas de Zamora,118574,3
680986725302906,Roberto Mirabella,Hacemos Santa Fe,114376,10
191138187655299,Municipalidad de Quilmes,Municipalidad de Quilmes,87453,39
672238573214250,Diego Arévalo,Diego Arévalo,77026,2
260217841057049,Consultora Tendencias,Consultora Tendencias,68595,16
450525428374372,Secretaría de Derechos Humanos de la Nación,Secretaría de Medios y Comunicación Pública,66558,2
103088924366000,Noticias d,Noticias d,61058,132
105933872199149,Mística,Mística,45965,6
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,43455,33
132275286851048,Luis Alfredo Juez,Frente Cívico de Córdoba,43072,7
411231642263185,Rolo Figueroa,Rolo Figueroa,41901,3
755993527765325,Franco Aranda,Franco Aranda,36423,10
112200072188893,Eduardo Cáceres,Eduardo Cáceres,35142,6
255392011709766,Gobierno de Formosa,Gobierno de Formosa,33353,20
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,32285,5
101321286190410,Avancemos Salta,Avancemos Salta,30815,4
102191259342345,Pablo Cornet,Juntos por Va,29448,22
108146311912164,Laburen Ladris,www.laburenladris.com,28470,18
174876119204869,Martín Insaurralde,Frente de Todos Lomas,28380,1
107919011974055,Hoy Sur,Hoy Sur,24128,8
20906273675,Greenpeace Argentina,Greenpeace Argentina,23946,1
465558466800210,Maxi Pullaro,Maxi Pullaro,23668,24
113781658634572,Gustavo Sáenz,Gustavo Sáenz,22687,4
103971262613376,Unión por Alta Gracia,Unión por Alta Gracia,21662,7
185922194792026,Myriam Bregman,Frente de Izquierda,21500,12
587918571392007,Lucas Figueras,Fundación Pensar Chaco Desarrollo,20601,8
107252148848573,Eduardo Cáceres,Eduardo Cáceres,20488,5
932158520193023,Municipalidad de José C. Paz,Municipio de José Clemente Paz,20227,10
106114454133868,Noticias de La Provincia,Noticias de la Provincia,19415,1
1688491141369349,Gobierno de la Provincia de La Pampa,Gobierno de la Pampa,18800,21
362204533804292,Municipio de Río Grande,Municipio de Río Grande,18799,7
138406616275954,Marcelo Orrego,Producción y Trabajo,18487,5
652162468224695,Juan Negri,Juan Negri,17595,9
104782484202318,Medio Buenos Aires,Medio Buenos Aires,17570,3
227513130941976,Ignacio Torres,Pro Chubut,17136,20
112495102121367,Gobierno de la Provincia de Buenos Aires,Gobierno de la Provincia de Buenos Aires,16805,1
1728738977359845,CPC San Vicente MuniCba,municipalidad de córdoba,16646,2
1275311129309933,Marcos Koopmann,Marcos Koopmann,16385,2
113328424956836,Prensa Libre,Prensa Libre,16351,5
2021141788107491,Othar Macharashvili,Othar Macharashvili,16023,1
108559308819301,Ahora Salta,Numen,15353,2
369181306485506,Patricia Cubria,showercomunicacion,14876,6
341449295874456,SEOhoy,Momentum SEO,14751,45
1915928008689451,Eli Cuesta,Eli Cuesta,14073,14
465558466800210,Maxi Pullaro,Juntos por el Cambio Evolución,14054,15
670959489635511,Ramon Rioseco,Frente y Participación Neuquina,13539,3
100932749306130,Noticias Andinas,Noticias Andinas,12646,11
129744574185800,Julián Amendolaggine,Julian Amendolaggine,12270,4
104147274759706,Periodismo de Izquierda,Periodismo de Izquierda,12210,7
104230022197116,En línea Chubut,En Línea Chubut,12193,12
107796462136638,La República Noticias,La República Noticias,12018,7
429298067264790,Sergio Ziliotto,Partido Justicialista Distrito La Pampa,12013,10
155326881225340,Cristian Ritondo,Hablen de a uno,11857,5
284302505110931,Juntos Tigre,JUNTOS TIGRE,11691,1
1471624973068591,Bettina Romero,Bettina Romero,11689,1
100513966017836,Noticias del Sur,Noticias del Sur,11662,9
219074291500100,Hugo Marcucci,Hugo Mar,11620,1
380477738689513,Cristina Fiore Viñuales,Victor Federico Hanne,11176,2
546669442064267,Martiniano Molina,Martiniano Molina,11042,1
427271967380241,Lucas Delfino,Juntos,10985,4
335926266503071,7D,7D,10795,9
141472172555994,Sole Martinez,Vicente López,10673,5
811490865528770,Guillermo Viñuales,Guillermo Viñuales,10472,3
104455719146837,El Meridiano,El Meridiano Noticias,10435,9
1662250880709156,Lanús Municipio,Lanús Municipio,10323,3
452525851510103,Nicolás del Caño,Frente de Izquierda,10305,4
170121889720847,Consultora Dixit,Consultora Dixit,10243,4
101996084777901,Mariela Belski,Mariela Belski,10237,10
359514447487972,Martín Arjol,Martín Arjol,10114,2
2438220102914670,Juan Pelaez,Julio Grasso,10052,2
429668923837600,Unidad Popular Río Negro,Unidad Popular Río Negro,9883,4
268315713845113,Pensamos San Vicente,Pensamos San Vicente,9800,1
238608056195754,Leandro Busatto,Leandro Busatto,9717,23
363825283650115,Vicente López,Vicente López,9549,4
1536637056372173,InfoData35,Info Data 35,9536,1
604770309648894,José Lepere,José Lepere,9534,2
105791202046721,Punto Ushuaia,Punto Ushuaia,9370,11
105735495551632,Nico Marchiolo,Nicolas Ariel Marchiolo,9000,6
107590944370114,Voz de Santa Fe,www.vozdesantafe.com.ar,8964,33
112090455034177,El Portavoz Oficial,El Portavoz,8960,4
480129710135,Municipio de Tigre,Municipalidad de Tigre,8736,26
391699984932525,Pablo Cervi,Centro de Inversiones y Desarrollos Patagónicos,8556,7
713889935401156,Alejandra Arreguez,Frente de Izquierda,8523,2
190356261138005,Leandro Zdero,Leandro Zdero,8503,2
699758330894365,Actualidad Argentina,Actualidad Argentina,8435,4
723384297773969,Walter Berarducci,Walter Fabian Berarducci,8429,1
109237045323181,Patagonia Noticias,Patagonia Noticias,8418,8
102126974997519,La República Porteña,Republica Porteña,8373,4
103432242252011,Rodolfo Ocaranza,Luis Rodolfo Nicolas Ocaranza,8341,4
104936284799353,Ente Municipal BioCórdoba,Ente Municipal BioCórdoba,8290,3
103594282676235,,Piensa Distinto,8284,1
106683794885574,Andrés Petrillo,Andres Petrillo,8232,1
102858281496444,Argentinos hoy,Argentinos hoy,8176,1
438942059479338,Izquierda Socialista,Frente de Izquierda Unidad,8149,1
289910177711776,Gobierno de Tucumán,Gobierno de Tucumán,8146,7
587405287971230,Mariano Cascallares,Partido Justicialista Almirante Brown,8097,8
104521364508491,Juan Pablo Inglese,Juan Pablo Inglese,8091,3
103979698049656,El notición,El Notición Online,8002,1
1466847683532406,Sebastián Neuspiller,Sebastián Neuspiller,8000,1
1170748123064391,Federico Frigerio,Federico Frigerio,7709,7
451835641522345,Marcelo Rodio,Marcelo Rodio,7593,6
60189524894,Defensoría del Pueblo de la Ciudad de Buenos Aires,Defensoría del Pueblo de la Ciudad de Buenos Aires,7573,13
175844725888213,Alejandro Bodart,MST Movimiento Socialista de los Trabajadores,7340,6
386830351387514,InfoSanLuis.com,InfoSanLuis.com,7299,11
253898394637965,Luciana Echevarría,MST,7248,3
542137185925627,Atilio Basualdo Intendente,Victor Pablo Basualdo,7238,3
238778949515431,El Cronista,El Cronista,7198,3
132907540183946,Informatesalta,InformateSalta,7011,1
111600998225620,Noticias Zero,Noticias Zero,6982,4
681154782085870,Palabras Fueguinas,Comunicarg,6920,3
134751226547299,Joaquín De la Torre,Joaquín de la Torre,6757,8
1726365124243504,Clara García,Clara Garcia,6729,2
107631983989726,Argentina Federal,Argentina Federal,6678,4
450698558430080,Daniel Deiana,Daniel Deiana,6677,18
113138195384719,Nestor Grindetti,Nestor Grindetti,6572,7
414907205618311,Cuarto,Cuarto,6479,1
1086999731414893,Lucas Castelli,Lucas Alberto Castelli,6427,69
236866663333273,387 Salta,387 Salta,6397,3
1605180749766737,Sergio Miodowsky,Sergio David Miodowsky,6308,5
947520791967929,Claudio Poggi,Claudio Poggi,6292,2
103891389084724,Sebastián Julierac Pinasco,Sebastián Julierac Pinasco,6213,2
81460078787,Eduardo Accastello,Eduardo Luis Accastello,6076,2
269810603537426,Esteban Lenci,Esteban Lenci,5986,3
102534516011045,La Gloria Noticias,La Gloria Noticias,5920,4
327844944459820,Claudio Vidal,Edgardo Gabriel Rovira,5902,2
980562078650430,Rosalía Fucello,Rosalía Fucello,5898,2
105434454484182,Difusión de Prensa Argentina,Difusión de Prensa Argentina,5780,4
1724549447807950,Ministerio de Desarrollo Social de La Pampa,Ministerio de Desarrollo Social de La Pampa,5763,8
624986924234661,Gustavo Bordet,Partido Justicialista Entre Ríos,5677,3
115265413177720,Franquito Hernandez Berni,Franco Esteban Francisco Hernandez Berni,5616,7
750412695032153,Pablo García Nieto,Pablo Garcia Nieto,5605,2
