Location name,Amount spent (EUR)
Alsace,706
Aquitaine,1408
Auvergne,405
Basse-Normandie,483
Bourgogne,554
Bretagne,1179
Centre,1130
Champagne-Ardenne,440
Corse,171
Franche-Comté,356
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,814
Languedoc-Roussillon,1277
Limousin,235
Lorraine,827
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1111
New Caledonia,≤100
Nord-Pas-de-Calais,1462
Pays de la Loire,1250
Picardie,662
Poitou-Charentes,646
Provence-Alpes-Côte d'Azur,2414
Reunion Island,140
Rhône-Alpes,2267
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4330
