Location name,Amount spent (EUR)
Blagoevgrad Province,291
Burgas Province,371
Dobrich Province,171
Gabrovo Province,113
Haskovo Province,163
Kardzhali Province,132
Kyustendil Province,132
Lovech Province,124
Montana Province,116
Pazardzhik Province,196
Pernik Province,132
Pleven Province,205
Plovdiv Province,621
Razgrad Province,135
Ruse Province,179
Shumen Province,116
Silistra Province,≤100
Sliven Province,199
Smolyan Province,105
Sofia City Province,1303
Sofia Province,162
Stara Zagora Province,321
Targovishte Province,107
Unknown,≤100
Varna Province,466
Veliko Tarnovo Province,205
Vidin Province,119
Vratsa Province,189
Yambol Province,133
