Location name,Amount spent (PKR)
Azad Kashmir,823
Balochistan,1860
Federally Administered Tribal Areas,180
Gilgit-Baltistan,460
Islamabad Capital Territory,3076
Khyber Pakhtunkhwa,9417
Punjab,33988
Sindh,12414
Unknown,≤100
