Location name,Amount spent (NOK)
Akershus,3303
Aust-Agder,585
Buskerud,1526
Finnmark,578
Hedmark,1108
Hordaland,2634
Møre og Romsdal,1505
Nord-Trøndelag,754
Nordland,1530
Oppland,1057
Oslo,5321
Rogaland,2173
Sogn og Fjordane,601
Sør-Trøndelag,1640
Telemark,966
Troms,1330
Unknown,≤100
Vest-Agder,1048
Vestfold,1379
Østfold,1622
