Location name,Amount spent (GTQ)
Alta Verapaz Department,151
Baja Verapaz Department,≤100
Chimaltenango Department,145
Chiquimula Department,105
El Progreso Department,≤100
Escuintla Department,204
Guatemala Department,5256
Huehuetenango Department,161
Izabal Department,130
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,239
Quiché Department,119
Retalhuleu Department,110
Sacatepéquez Department,263
San Marcos Department,404
Santa Rosa Department,115
Sololá Department,159
Suchitepéquez Department,596
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
