Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,649
Bicol Region,3709
Cagayan Valley,2721
Calabarzon,14508
Caraga,1403
Central Luzon,9442
Central Visayas,8132
Cordillera Administrative Region,1495
Davao Region,3082
Eastern Visayas,2697
Ilocos Region,3760
Metro Manila,23290
Mimaropa,4139
Northern Mindanao,5738
Soccsksargen,2234
Unknown,≤100
Western Visayas,6861
Zamboanga Peninsula,2676
