Location name,Amount spent (INR)
Andaman and Nicobar Islands,1010
Andhra Pradesh,58471
Arunachal Pradesh,758
Assam,12371
Bihar,37436
Chandigarh,2070
Chhattisgarh,22197
Dadra and Nagar Haveli,1850
Delhi,86817
Goa,4660
Gujarat,60213
Haryana,42167
Himachal Pradesh,10801
Jammu and Kashmir,7639
Jharkhand,12852
Karnataka,277777
Kerala,29728
Lakshadweep,≤100
Madhya Pradesh,58729
Maharashtra,206932
Manipur,1549
Meghalaya,2150
Mizoram,488
Nagaland,796
Odisha,20592
Puducherry,1875
Punjab region,28286
Rajasthan,102867
Sikkim,684
Tamil Nadu,40663
Telangana,70192
Tripura,2077
Unknown,119
Uttar Pradesh,103312
Uttarakhand,9625
West Bengal,37178
