Location name,Amount spent (VND)
An Giang Province,798
Bà Rịa–Vũng Tàu Province,16736
Bình Dương Province,103640
Bình Phước Province,1771
Bình Thuận Province,2891
Bình Định Province,2941
Bạc Liêu Province,1654
Bắc Giang Province,8440
Bắc Kạn Province,940
Bắc Ninh Province,7907
Bến Tre Province,822
Cao Bằng Province,1040
Cà Mau Province,721
Cần Thơ,1075
Da Nang,3605
Gia Lai Province,1566
Haiphong,2779
Ho Chi Minh City,1823102
Hà Giang Province,856
Hà Nam Province,1466
Hà Tĩnh Province,836
Hòa Bình Province,726
Hưng Yên Province,1971
Hải Dương Province,4906
Hậu Giang Province,≤100
Khánh Hòa Province,3704
Kiên Giang Province,1147
Kon Tum Province,536
Lai Châu Province,430
Long An Province,726
Lào Cai Province,2001
Lâm Đồng Province,3865
Lạng Sơn Province,21443
Nam Định Province,1078
Nghệ An Province,4870
Ninh Bình Province,1711
Ninh Thuận Province,1148
Phú Thọ Province,1771
Phú Yên Province,862
Quảng Bình Province,2020
Quảng Nam Province,3395
Quảng Ngãi Province,93757
Quảng Ninh Province,1812
Quảng Trị Province,1082
Sóc Trăng Province,700
Sơn La Province,2588
Thanh Hóa Province,6882
Thái Bình Province,2696
Thái Nguyên Province,3331
Thừa Thiên–Huế Province,756
Tiền Giang Province,946
Trà Vinh Province,755
Tuyên Quang Province,2282
Tây Ninh Province,3537
Vĩnh Long Province,551
Vĩnh Phúc Province,3401
Yên Bái Province,766
Điện Biên Province,1199
Đắk Lắk Province,2085
Đắk Nông Province,662
Đồng Nai Province,73308
Đồng Tháp Province,340
