Location name,Amount spent (GTQ)
Alta Verapaz Department,3234
Baja Verapaz Department,1153
Chimaltenango Department,3182
Chiquimula Department,1981
El Progreso Department,952
Escuintla Department,4085
Guatemala Department,63917
Huehuetenango Department,4589
Izabal Department,3467
Jalapa Department,1371
Jutiapa Department,2561
Petén Department,2901
Quetzaltenango Department,7492
Quiché Department,3569
Retalhuleu Department,2011
Sacatepéquez Department,3201
San Marcos Department,10723
Santa Rosa Department,2002
Sololá Department,2298
Suchitepéquez Department,3256
Totonicapán Department,2032
Unknown,≤100
Zacapa Department,1531
