Location name,Amount spent (ISK)
Capital Region,54557
Eastern Region,3025
Northeastern Region,6515
Northwestern Region,1934
Southern Peninsula,5535
Southern Region,6435
Unknown,≤100
Western Region,5198
Westfjords,2446
