Location name,Amount spent (UYU)
Artigas Department,155
Canelones Department,1010
Cerro Largo Department,188
Colonia Department,274
Durazno Department,≤100
Flores Department,≤100
Florida Department,134
Lavalleja Department,≤100
Maldonado Department,330
Montevideo Department,5061
Paysandú Department,267
Rivera Department,574
Rocha Department,138
Río Negro Department,≤100
Salto Department,680
San José Department,136
Soriano Department,126
Tacuarembó Department,145
Treinta y Tres Department,≤100
Unknown,≤100
