Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library
693929714007978,Hj Nicholas Sylvester Muhammad Abdullah,Portal Mudah,687,3
425293244166119,Sehinggit,Sehinggit,404,4
104503762988176,Hidayah Centre Foundation,Hidayah Centre Foundation,313,4
110647840532680,Merge Mayor,These ads ran without a disclaimer,302,1
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,292,7
100345532977273,Tiada Janji Lihat Bukti,Tiada Janji Lihat Bukti,281,3
474963719253432,Yayasan Ikhlas,Yayasan Ikhlas,265,5
103164978195601,Fadzli Kamal,Fadzli Kamal,257,1
605690772932016,Jualan Lelong Kaw Kaw - Event & Management,These ads ran without a disclaimer,231,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,230,2
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,191,2
101193781637538,sumbangan.com,sumbangan.com,166,4
169284053121990,Pemuda PAS Bangi,Pemuda PAS Bangi,151,15
221159141657466,Newswav,Newswav - Malaysia Latest News,140,29
87363369882,Sinar Harian,Sinar Harian,107,3
103627275288286,Lumi News Malaysia,These ads ran without a disclaimer,105,3
159394141451669,PJ Startup Festival,Lim Yi Wei,102,3
343347583411734,歡樂大東家,These ads ran without a disclaimer,102,2
109530075225317,Rezeki Infaq,Rezeki Infaq,≤100,1
103314832548708,RMD Cashback Project,These ads ran without a disclaimer,≤100,1
112512589548367,Bersih dan Stabil : BEST,Bersih dan Stabil : BEST,≤100,4
109862381904645,阿聪吹水堂 Ah Chung Talkshow,阿聪吹水堂 Ah Chung Talkshow,≤100,3
135856610910,Liew Chin Tong,Liew Chin Tong,≤100,2
138361272876308,马华公会,马华公会,≤100,6
517210464961612,刘华才博士,PGRM,≤100,5
101291341431976,Azril Sarit,Azril Rizal Yusof Bin Mohd Sarit,≤100,1
401788663279891,Yayasan Sofa Negeri Sembilan,Yayasan Sofa,≤100,1
217391881631388,SAYS,SAYS,≤100,7
929403260489334,Nadi Mahasiswa Malaysia,Nadi Mahasiswa Malaysia,≤100,7
130114577096206,刘镇东,Liew Chin Tong,≤100,1
149208308580838,Fuziah Salleh,Keadilan Rakyat,≤100,7
109978830534400,Dr Dominic Lau Hoe Chai,PGRM,≤100,4
1692040137540677,TawauKini,Kromium Digital,≤100,6
47298465905,Malaysiakini,FG Media Sdn Bhd,≤100,1
108562495293165,Energy Asia,Energy Asia,≤100,4
122913508099,Parti Gerakan Rakyat Malaysia,PGRM,≤100,2
101039798654792,Pusat Khidmat Rakyat Parlimen Sungai Buloh,Pusat Khidmat Rakyat Parlimen Sungai Buloh,≤100,3
100844041862257,Suhaimi Haji Nasir - Page,Suhaimi Haji Nasir - Page,≤100,1
1730319457288424,Global Ehsan Relief Malaysia,Global Ehsan Relief Malaysia,≤100,5
330750857632133,Che'GuBard Original,Ahmad Anwar Asyraf Bin Ismail,≤100,10
27588322041,BFM Radio - The Business Station,BFM Radio - The Business Station,≤100,4
242624549154600,Wong Kah Woh,DAP Taiping,≤100,1
682185291819063,UV Print Station,These ads ran without a disclaimer,≤100,1
211591442051,Harian Metro,Rev Media Group,≤100,5
40949157713,JUICE Malaysia,JUICE Malaysia,≤100,2
1405154206375082,辩论海啸,辩论海啸,≤100,2
108913061242544,PDP Central Region - Sarawak - Progressive Democratic Party,PDP CENTRAL REGION SARAWAK,≤100,1
230445633883,Jabatan Penerangan Malaysia,Jabatan Penerangan Malaysia,≤100,2
105620295797856,Lucinda Galaxy Media Forum,These ads ran without a disclaimer,≤100,2
107382207626058,R.Yuneswaran,Yuneswaran A/L Ramaraj,≤100,2
401340596873929,The True Net,Yoke Har Ng,≤100,7
223180581163143,Jagdeep Singh Deo 'Serving the People',Usha A/p Balakrishnan,≤100,1
