Location name,Amount spent (ZAR)
Eastern Cape,734
Free State,635
Gauteng,3153
KwaZulu-Natal,1416
Limpopo,727
Mpumalanga,528
North West,387
Northern Cape,214
Unknown,≤100
Western Cape,1830
