Location name,Amount spent (MXN)
Aguascalientes,8163
Baja California,18272
Baja California Sur,3487
Campeche,3031
Chiapas,11010
Chihuahua,17458
Coahuila de Zaragoza,34584
Colima,5477
Distrito Federal,110156
Durango,5598
Guanajuato,23539
Guerrero,7262
Hidalgo,11145
Jalisco,513072
Michoacán de Ocampo,23703
Morelos,8990
Nayarit,2697
Nuevo León,33916
Oaxaca,7313
Puebla,20239
Querétaro Arteaga,13486
Quintana Roo,4507
San Luis Potosi,15868
Sinaloa,6517
Sonora,10325
State of Mexico,173812
Tabasco,6451
Tamaulipas,17236
Tlaxcala,3431
Unknown,≤100
Veracruz,16656
Yucatán,14376
Zacatecas,3624
