Location name,Amount spent (EGP)
Al Sharqia Governorate,942
Alexandria Governorate,909
Aswan Governorate,115
Asyut Governorate,296
Beheira Governorate,455
Beni Suef Governorate,180
Cairo Governorate,2138
Dakahlia Governorate,947
Damietta Governorate,269
Faiyum Governorate,183
Gharbia Governorate,789
Giza Governorate,956
Ismailia Governorate,152
Kafr el-Sheikh Governorate,362
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,408
Monufia Governorate,448
New Valley Governorate,738
North Sinai Governorate,≤100
Port Said Governorate,150
Qalyubia Governorate,553
Qena Governorate,233
Red Sea Governorate,≤100
Sohag Governorate,388
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
