Location name,Amount spent (TRY)
Adana Province,2799
Adıyaman Province,180
Afyonkarahisar Province,785
Aksaray Province,381
Amasya Province,214
Ankara Province,8003
Antalya Province,4882
Ardahan Province,≤100
Artvin Province,145
Aydın Province,903
Ağrı Province,120
Balıkesir Province,1359
Bartın Province,150
Batman Province,230
Bayburt Province,≤100
Bilecik Province,172
Bingöl Province,105
Bitlis Province,≤100
Bolu Province,292
Burdur Province,182
Bursa Province,3259
Denizli Province,1061
Diyarbakır Province,494
Düzce Province,1485
Edirne Province,636
Elazığ Province,334
Erzincan Province,141
Erzurum Province,352
Eskişehir Province,1163
Gaziantep Province,2005
Giresun Province,374
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1179
Isparta Province,440
Istanbul Province,20109
Iğdır Province,≤100
Kahramanmaraş Province,540
Karabük Province,208
Karaman Province,273
Kars Province,105
Kastamonu Province,371
Kayseri Province,1717
Kilis Province,136
Kocaeli Province,1358
Konya Province,1872
Kütahya Province,428
Kırklareli Province,222
Kırıkkale Province,490
Kırşehir Province,1266
Malatya Province,543
Manisa Province,1135
Mardin Province,348
Mersin Province,1953
Muğla Province,769
Muş Province,≤100
Nevşehir Province,325
Niğde Province,246
Ordu Province,604
Osmaniye Province,455
Rize Province,307
Sakarya Province,1768
Samsun Province,1482
Siirt Province,≤100
Sinop Province,149
Sivas Province,390
Tekirdağ Province,1054
Tokat Province,372
Trabzon Province,1583
Tunceli Province,≤100
Unknown,≤100
Uşak Province,718
Van Province,235
Yalova Province,473
Yozgat Province,250
Zonguldak Province,3610
Çanakkale Province,659
Çankırı Province,187
Çorum Province,410
İzmir Province,3444
Şanlıurfa Province,1239
Şırnak Province,153
