Location name,Amount spent (ARS)
Buenos Aires,1121973
Catamarca,40390
Chaco,41575
Chubut,52503
Ciudad Autónoma de Buenos Aires,139231
Corrientes,23466
Córdoba,1864287
Entre Rios,44941
Formosa,11940
Jujuy,7194
La Pampa,120155
La Rioja,13528
Mendoza,25637
Misiones,27832
Neuquén,156109
Río Negro,26564
Salta,68438
San Juan,42424
San Luis,52612
Santa Cruz,11808
Santa Fe,208428
Santiago del Estero,7871
Tierra del Fuego,42418
Tucuman,29478
Unknown,≤100
