Location name,Amount spent (PLN)
Greater Poland Voivodeship,6685
Kuyavian-Pomeranian Voivodeship,3528
Lesser Poland Voivodeship,5575
Lower Silesian Voivodeship,4852
Lublin Voivodeship,2919
Lubusz Voivodeship,1608
Masovian Voivodeship,12161
Opole Voivodeship,1457
Podkarpackie Voivodeship,2830
Podlaskie Voivodeship,1612
Pomeranian Voivodeship,4174
Silesian Voivodeship,6974
Unknown,≤100
Warmian-Masurian Voivodeship,2135
West Pomeranian Voivodeship,3221
Łódź Voivodeship,3956
Świętokrzyskie Voivodeship,1662
