Location name,Amount spent (CHF)
Aargau,165
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,120
Basel-Landschaft,≤100
Bern,259
Canton of Geneva,283
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,108
Fribourg,187
Graubünden,≤100
Jura,≤100
Luzern,106
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,131
Unknown,≤100
Uri,≤100
Valais,166
Vaud,425
Zug,253
Zürich,554
