Location name,Amount spent (LBP)
Beirut Governorate,2138420
Beqaa Governorate,519701
Mount Lebanon Governorate,1103432
Nabatieh Governorate,289552
North Governorate,1055820
South Governorate,477612
Unknown,≤100
