Location name,Amount spent (ARS)
Buenos Aires,5367958
Catamarca,87569
Chaco,113644
Chubut,400072
Ciudad Autónoma de Buenos Aires,698223
Corrientes,54461
Córdoba,1337216
Entre Rios,597562
Formosa,21369
Jujuy,69825
La Pampa,70696
La Rioja,28595
Mendoza,70577
Misiones,30563
Neuquén,69693
Río Negro,108278
Salta,55849
San Juan,2527203
San Luis,38522
Santa Cruz,54877
Santa Fe,5272926
Santiago del Estero,25136
Tierra del Fuego,100886
Tucuman,42376
Unknown,3469
