Location name,Amount spent (CAD)
Alberta,4996
British Columbia,9864
Manitoba,837
New Brunswick,1086
Newfoundland and Labrador,834
Northwest Territories,171
Nova Scotia,1326
Nunavut,≤100
Ontario,16774
Prince Edward Island,172
Quebec,7866
Saskatchewan,2040
Unknown,≤100
Yukon,106
