Location name,Amount spent (PKR)
Azad Kashmir,1458
Balochistan,1816
Federally Administered Tribal Areas,370
Gilgit-Baltistan,696
Islamabad Capital Territory,2191
Khyber Pakhtunkhwa,8389
Punjab,34794
Sindh,11304
Unknown,≤100
