Location name,Amount spent (RON)
Alba County,454
Arad County,687
Argeș County,1016
Bacău County,804
Bihor County,799
Bistrița-Năsăud County,526
Botoșani County,574
Brașov County,697
Brăila County,437
Bucharest,6050
Buzău County,594
Caraș-Severin County,332
Cluj County,1426
Constanța County,940
Covasna County,364
Călărași County,345
Dolj County,1400
Dâmbovița County,542
Galați County,692
Giurgiu County,301
Gorj County,568
Harghita County,691
Hunedoara County,535
Ialomița County,288
Iași County,1754
Ilfov County,444
Maramureș County,740
Mehedinți County,378
Mureș County,960
Neamț County,692
Olt County,464
Prahova County,1040
Satu Mare County,555
Sibiu County,521
Suceava County,768
Sălaj County,360
Teleorman County,361
Timiș County,858
Tulcea County,260
Unknown,≤100
Vaslui County,435
Vrancea County,391
Vâlcea County,461
