Location name,Amount spent (TRY)
Adana Province,3265
Adıyaman Province,≤100
Afyonkarahisar Province,103
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,949
Antalya Province,1122
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,454
Ağrı Province,≤100
Balıkesir Province,264
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,525
Denizli Province,152
Diyarbakır Province,106
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,154
Gaziantep Province,171
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,285
Isparta Province,≤100
Istanbul Province,11844
Iğdır Province,≤100
Kahramanmaraş Province,≤100
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,181
Kilis Province,≤100
Kocaeli Province,615
Konya Province,547
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,385
Mardin Province,≤100
Mersin Province,443
Muğla Province,214
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,273
Samsun Province,236
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,214
Tokat Province,≤100
Trabzon Province,≤100
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,234
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1283
Şanlıurfa Province,117
Şırnak Province,≤100
