Location name,Amount spent (EUR)
Alsace,429
Aquitaine,869
Auvergne,260
Basse-Normandie,287
Bourgogne,329
Bretagne,709
Centre,564
Champagne-Ardenne,286
Corse,101
Franche-Comté,219
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,461
Languedoc-Roussillon,901
Limousin,147
Lorraine,554
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,720
New Caledonia,≤100
Nord-Pas-de-Calais,859
Pays de la Loire,718
Picardie,438
Poitou-Charentes,416
Provence-Alpes-Côte d'Azur,1737
Reunion Island,≤100
Rhône-Alpes,1439
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,3581
