Location name,Amount spent (IDR)
Aceh,1250014
Bali,2287706
Bangka–Belitung Islands,329124
Banten,1359058
Bengkulu,540930
Central Java,7473312
Central Kalimantan,580205
Central Sulawesi,688005
East Java,9720057
East Kalimantan,1473072
East Nusa Tenggara,885028
Gorontalo,410156
Jakarta,2531768
Jambi,685106
Lampung,2279321
Maluku,380409
North Kalimantan,213512
North Maluku,246651
North Sulawesi,1316632
North Sumatra,2747884
Papua (province),474863
Riau,1449096
Riau Islands Province,708139
South Kalimantan,790008
South Sulawesi,1693914
South Sumatra,1857737
Southeast Sulawesi,494641
Special Region of Yogyakarta,1090854
Unknown,518
West Java,7089271
West Kalimantan,1784607
West Nusa Tenggara,941001
West Papua,241183
West Sulawesi,280160
West Sumatra,1789287
