Location name,Amount spent (GTQ)
Alta Verapaz Department,2780
Baja Verapaz Department,1027
Chimaltenango Department,3241
Chiquimula Department,1617
El Progreso Department,968
Escuintla Department,4782
Guatemala Department,54092
Huehuetenango Department,4745
Izabal Department,2899
Jalapa Department,1557
Jutiapa Department,3169
Petén Department,1896
Quetzaltenango Department,6034
Quiché Department,2611
Retalhuleu Department,1763
Sacatepéquez Department,3640
San Marcos Department,8288
Santa Rosa Department,1526
Sololá Department,2278
Suchitepéquez Department,2858
Totonicapán Department,1544
Unknown,≤100
Zacapa Department,1117
