Location name,Amount spent (IDR)
Aceh,563497
Bali,1950697
Bangka–Belitung Islands,288455
Banten,1762420
Bengkulu,417029
Central Java,6155464
Central Kalimantan,446871
Central Sulawesi,523090
East Java,9668373
East Kalimantan,1063481
East Nusa Tenggara,1069019
Gorontalo,357703
Jakarta,4209941
Jambi,539958
Lampung,1366736
Maluku,292601
North Kalimantan,180939
North Maluku,234219
North Sulawesi,1260109
North Sumatra,4021245
Papua (province),505273
Riau,1603984
Riau Islands Province,596846
South Kalimantan,535390
South Sulawesi,1592422
South Sumatra,1341835
Southeast Sulawesi,444642
Special Region of Yogyakarta,964873
Unknown,4364
West Java,6497329
West Kalimantan,951920
West Nusa Tenggara,992086
West Papua,226088
West Sulawesi,226378
West Sumatra,937776
