Location name,Amount spent (COP)
Amazonas,1095
Antioquia,6095206
Arauca,25298
Atlantico,924506
Bolivar,372660
Boyaca,53712
Caldas,117672
Caqueta,53289
Casanare,58170
Cauca,177802
Cesar,80902
Choco,17897
Cordoba,191993
Cundinamarca,375781
Distrito Especial,2548393
Guainia,563
Guaviare,7872
Huila,325263
La Guajira,24176
Magdalena,500756
Meta,309503
Narino,95266
Norte de Santander,517452
Putumayo,28711
Quindio,85156
Risaralda,805200
San Andres y Providencia,3980
Santander,281621
Sucre,145872
Tolima,226576
Unknown,132
Valle del Cauca,2436143
Vaupes,219
Vichada,536
