Location name,Amount spent (EGP)
Al Sharqia Governorate,2035
Alexandria Governorate,1139
Aswan Governorate,175
Asyut Governorate,401
Beheira Governorate,652
Beni Suef Governorate,304
Cairo Governorate,3566
Dakahlia Governorate,1368
Damietta Governorate,408
Faiyum Governorate,305
Gharbia Governorate,1188
Giza Governorate,1140
Ismailia Governorate,462
Kafr el-Sheikh Governorate,573
Luxor Governorate,129
Matrouh Governorate,461
Minya Governorate,525
Monufia Governorate,671
New Valley Governorate,≤100
North Sinai Governorate,102
Port Said Governorate,432
Qalyubia Governorate,1238
Qena Governorate,335
Red Sea Governorate,101
Sohag Governorate,490
South Sinai Governorate,≤100
Suez Governorate,135
Unknown,≤100
