Location name,Amount spent (UYU)
Artigas Department,292
Canelones Department,1130
Cerro Largo Department,339
Colonia Department,560
Durazno Department,251
Flores Department,147
Florida Department,206
Lavalleja Department,199
Maldonado Department,709
Montevideo Department,4609
Paysandú Department,2596
Rivera Department,609
Rocha Department,237
Río Negro Department,192
Salto Department,849
San José Department,275
Soriano Department,357
Tacuarembó Department,296
Treinta y Tres Department,244
Unknown,≤100
