Location name,Amount spent (SEK)
Blekinge County,4669
Dalarna County,9398
Gotland County,2939
Gävleborg County,9923
Halland County,9258
Jämtland County,4961
Jönköping County,11099
Kalmar County,7331
Kronoberg County,6190
Norrbotten County,8521
Skåne County,41851
Stockholm County,77485
Södermanland County,9764
Unknown,≤100
Uppsala County,15041
Värmland County,8573
Västerbotten County,12148
Västernorrland County,8502
Västmanland County,8353
Västra Götaland County,56666
Örebro County,9967
Östergötland County,13953
