Location name,Amount spent (MXN)
Aguascalientes,12494
Baja California,22456
Baja California Sur,3771
Campeche,23541
Chiapas,14846
Chihuahua,21312
Coahuila de Zaragoza,49082
Colima,5753
Distrito Federal,91450
Durango,8798
Guanajuato,89402
Guerrero,12175
Hidalgo,14436
Jalisco,48853
Michoacán de Ocampo,33593
Morelos,11306
Nayarit,5100
Nuevo León,91429
Oaxaca,14272
Puebla,36477
Querétaro Arteaga,14333
Quintana Roo,27833
San Luis Potosi,16864
Sinaloa,16133
Sonora,17567
State of Mexico,181823
Tabasco,13149
Tamaulipas,26344
Tlaxcala,6074
Unknown,≤100
Veracruz,32912
Yucatán,31646
Zacatecas,7414
