Location name,Amount spent (UYU)
Artigas Department,119
Canelones Department,456
Cerro Largo Department,130
Colonia Department,207
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,191
Montevideo Department,2421
Paysandú Department,157
Rivera Department,232
Rocha Department,125
Río Negro Department,≤100
Salto Department,242
San José Department,≤100
Soriano Department,111
Tacuarembó Department,133
Treinta y Tres Department,102
Unknown,≤100
