Location name,Amount spent (GTQ)
Alta Verapaz Department,1595
Baja Verapaz Department,573
Chimaltenango Department,1354
Chiquimula Department,1069
El Progreso Department,484
Escuintla Department,3119
Guatemala Department,29176
Huehuetenango Department,2171
Izabal Department,1592
Jalapa Department,665
Jutiapa Department,1203
Petén Department,2036
Quetzaltenango Department,3054
Quiché Department,1511
Retalhuleu Department,1017
Sacatepéquez Department,1254
San Marcos Department,5132
Santa Rosa Department,1084
Sololá Department,914
Suchitepéquez Department,1383
Totonicapán Department,772
Unknown,≤100
Zacapa Department,780
