Location name,Amount spent (AUD)
Australian Capital Territory,1368
Jervis Bay Territory,≤100
New South Wales,217386
Northern Territory,330
Queensland,10728
South Australia,5340
Tasmania,1054
Unknown,≤100
Victoria,21519
Western Australia,6508
