Location name,Amount spent (MXN)
Aguascalientes,6504
Baja California,15913
Baja California Sur,8521
Campeche,20464
Chiapas,14363
Chihuahua,20304
Coahuila de Zaragoza,95635
Colima,7809
Distrito Federal,143655
Durango,4445
Guanajuato,55508
Guerrero,7527
Hidalgo,8300
Jalisco,100641
Michoacán de Ocampo,20632
Morelos,6544
Nayarit,2796
Nuevo León,108449
Oaxaca,14183
Puebla,18575
Querétaro Arteaga,26044
Quintana Roo,17859
San Luis Potosi,12665
Sinaloa,7636
Sonora,12751
State of Mexico,77204
Tabasco,8932
Tamaulipas,25244
Tlaxcala,3326
Unknown,≤100
Veracruz,21142
Yucatán,16381
Zacatecas,4037
