Location name,Amount spent (PYG)
Alto Paraguay Department,10136
Alto Paraná Department,1157988
Amambay Department,282106
Asunción,1081185
Boquerón department,49846
Caaguazú Department,653352
Caazapá Department,123524
Canindeyú Department,110591
Central Department,2818065
Concepción Department (Paraguay),110979
Cordillera Department,179696
Guairá Department,110548
Itapúa Department,701418
Misiones Department,174328
Paraguarí Department,122924
Presidente Hayes Department,73955
San Pedro Department,157024
Unknown,310
Ñeembucú Department,170792
