Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
681779338505564,Yiaga Africa,Yiaga Africa with Facebook Ad Credits,701322,7
105971529455847,Lagos Talks,Lagos Talks,451553,3
1572089193014869,DUMO Lulu-Briggs Recommended,DUMO Lulu-Briggs Recommended,115266,15
2162773263850270,Khalil Network,Khalil Network,35963,3
111671415154722,The Time is Now,Team Caleb Mutfwang,27896,4
111671415154722,The Time is Now,Team Caleb Mutfwang,27896,4
111901560465601,Jaha Dukureh,These ads ran without a disclaimer,24446,1
100486959387581,Ada Ogbu Nara,Chisom Okechukwu Kenneth,23074,10
355399445235927,WE Accord,WE Accord,21113,8
102908838246744,Enugu Think Outside The Box,Bolaji Adedotun Adeshokan,17203,6
312632449480846,Governor Ifeanyi A. Okowa,Governor Ifeanyi A. Okowa,13371,2
1567614746869354,Daily Shopping,Awotidebe Oluwaseyifunmi,12058,3
109657551932735,Lagos Today,Lagos Today,11527,11
107241665289643,Nigeria 4 Peter Obi,Ajibola Adeboye,9751,1
1483156181977342,Precious Eze's Blog,Precious Eze's Blog,9302,12
112349224687773,Kufre Ekpoh,Kufre Imo Ekpoh,9048,8
549902805058014,Gbadebo Rhodes-Vivour,Gbadebo Rhodes-Vivour,8904,1
1917868968529177,Education NOW 9ja,Kolo Jessa Ndaisa,8843,1
104680361991427,Hon. Mojisolaoluwa Alli-Macaulay,Omayeli Christabell Amorighoye,6632,4
107676437643727,Inuwa Media Vanguard,Inuwa Media Vanguard,6516,11
492378324116772,The Lagos State Government,The Lagos State Government,6291,1
108796611296489,INUWA 4+4 TV,INUWA 4+4 TV,5711,9
110806117813125,Comr. Chief Mrs. Beatrice Itubo,Comr. Chief Mrs. Beatrice Itubo,5308,6
406240544044,Dto-Bbb Gubernatorial Campaign Group,Dto-Bbb Gubernatorial Campaign Group,5028,5
353265182185073,Brace-up The Young,Brace-up The Young,4651,1
105756478574505,Stears,Stears,4598,6
103830540990930,Hon. Adedeji Stanley Olajide - ODIDI OMO,Odidiomo Constituency Office,4388,1
971769479677563,Gbenga Olawepo-Hashim,Olushola Oni,3960,1
115556161158674,Legborsi Yamaabana 4 House of Reps 2023,Legborsi Yamaabana 4 House of Reps 2023,3689,1
102022562383716,"Efiom ""Papa"" Okokon","Efiom ""Papa"" Okokon",3689,7
126460284139483,Nigerianeye,NigerianEye,3689,1
110043258402172,Hon. Habibu Abubakar Sambo -Imamu,Habibu Sambo Abubakar,3666,3
274811734355511,Insight 4 Impact Foundation,Insight 4 Impact Foundation,3608,1
131189377574,MDPI,These ads ran without a disclaimer,3442,5
823788047675556,Call of War,These ads ran without a disclaimer,3421,2
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,3397,2
101229044647022,Senator Mohammed Sani Musa,Suleiman Sani Musa,3239,3
108938728492589,"Hon. Danjuma Azi  CPA, Gmnimn, JP, PDP Candidate PLSHA Jos-North West",Isaac Bilson,3227,3
102169824695398,Rero TV,Rero TV,3131,9
