Location name,Amount spent (MYR)
Johor,1532
Kedah,1184
Kelantan,386
Kuala Lumpur,2081
Labuan,≤100
Malacca,601
Negeri Sembilan,1293
Pahang,250
Penang,767
Perak,472
Perlis,≤100
Putrajaya,≤100
Sabah,408
Sarawak,489
Selangor,5693
Terengganu,698
Unknown,≤100
