Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
482198868521917,Asot Michael,Asot A. Michael,907,15
354192254667229,Antigua Barbuda Workers Union,Antigua & Barbuda Workers Union,≤100,2
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100,2
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100,2
56777943052,One Young World,These ads ran without a disclaimer,≤100,1
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,≤100,1
106321962111925,taboo_empower,These ads ran without a disclaimer,≤100,1
310943025606302,World Cancer Day,These ads ran without a disclaimer,≤100,1
243385523091421,Competent Boards,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,2
