Location name,Amount spent (THB)
Amnat Charoen,122
Ang Thong,≤100
Ayutthaya,649
Bangkok,14216
Bueng Kan,≤100
Buriram,405
Chachoengsao,402
Chai Nat,≤100
Chaiyaphum,226
Chanthaburi,174
Chiang Mai,645
Chiang Rai,326
Chon Buri,1060
Chumphon,537
Kalasin,202
Kamphaeng Phet,178
Kanchanaburi,378
Khon Kaen,484
Krabi,514
Lampang,229
Lamphun,118
Loei,148
Lop Buri,225
Mae Hong Son,≤100
Maha Sarakham,234
Mukdahan,116
Nakhon Nayok,≤100
Nakhon Pathom,458
Nakhon Phanom,150
Nakhon Ratchasima,677
Nakhon Sawan,294
Nakhon Si Thammarat,3443
Nan,≤100
Narathiwat,449
Nong Bua Lam Phu,105
Nong Khai,146
Nonthaburi,898
Pathum Thani,746
Pattani,550
Phangnga,292
Phatthalung,575
Phayao,130
Phetchabun,221
Phetchaburi,638
Phichit,390
Phitsanulok,3232
Phrae,128
Phuket,932
Prachin Buri,165
Prachuap Khiri Khan,787
Ranong,178
Ratchaburi,308
Rayong,351
Roi Et,293
Sa Kaeo,144
Sakon Nakhon,269
Samut Prakan,721
Samut Sakhon,435
Samut Songkhram,≤100
Saraburi,239
Satun,276
Sing Buri,≤100
Sisaket,367
Songkhla,1806
Sukhothai,167
Suphan Buri,217
Surat Thani,6787
Surin,1053
Tak,141
Trang,677
Trat,≤100
Ubon Ratchathani,501
Udon Thani,392
Unknown,≤100
Uthai Thani,≤100
Uttaradit,130
Yala Province,371
Yasothon,175
