Location name,Amount spent (INR)
Andaman and Nicobar Islands,194
Andhra Pradesh,136135
Arunachal Pradesh,1174
Assam,14335
Bihar,31694
Chandigarh,1598
Chhattisgarh,40944
Dadra and Nagar Haveli,1886
Delhi,67296
Goa,2811
Gujarat,73824
Haryana,33447
Himachal Pradesh,8789
Jammu and Kashmir,4090
Jharkhand,13263
Karnataka,53973
Kerala,14005
Lakshadweep,≤100
Madhya Pradesh,229908
Maharashtra,165401
Manipur,150
Meghalaya,917
Mizoram,3302
Nagaland,880
Odisha,14368
Puducherry,822
Punjab region,26453
Rajasthan,160522
Sikkim,926
Tamil Nadu,43715
Telangana,66205
Tripura,1832
Unknown,≤100
Uttar Pradesh,90711
Uttarakhand,11371
West Bengal,111419
