Location name,Amount spent (USD)
Alabama,8253
Alaska,2875
Arizona,17166
Arkansas,4922
California,76833
Colorado,11838
Connecticut,7932
Delaware,1857
Florida,55787
Georgia,25231
Guam,≤100
Hawaii,2408
Idaho,4893
Illinois,40694
Indiana,16695
Iowa,6760
Kansas,8444
Kentucky,9940
Louisiana,10142
Maine,5614
Maryland,14896
Massachusetts,12930
Michigan,25575
Minnesota,15922
Mississippi,6648
Missouri,13652
Montana,3663
Nebraska,4232
Nevada,6730
New Hampshire,3710
New Jersey,18664
New Mexico,5414
New York,46637
North Carolina,23478
North Dakota,1627
Northern Mariana Islands,≤100
Ohio,25154
Oklahoma,13948
Oregon,9369
Pennsylvania,29264
Puerto Rico,≤100
Rhode Island,1758
South Carolina,9957
South Dakota,1742
Tennessee,15120
Texas,57041
Unknown,≤100
Utah,5966
Vermont,1838
Virgin Islands (U.S.),≤100
Virginia,22913
Washington,15387
"Washington, District of Columbia",5853
West Virginia,4140
Wisconsin,54404
Wyoming,1412
