Location name,Amount spent (USD)
Azuay Province,549
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,110
Chimborazo Province,214
Cotopaxi Province,102
El Oro Province,565
Esmeraldas Province,183
Galápagos Province,≤100
Guayas Province,1804
Imbabura Province,178
Loja Province,≤100
Los Ríos Province,297
Manabí Province,820
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1125
Santa Elena Province,117
Santo Domingo de los Tsáchilas Province,576
Sucumbíos Province,≤100
Tungurahua Province,184
Unknown,≤100
Zamora-Chinchipe Province,≤100
