Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
990747367737692,Cătălin Drulă,Uniunea Salvați România,7128,6
178362315106,European Parliament,European Parliament,5258,11
1058116737612843,USR,Uniunea Salvați România,5062,3
163943696987223,Ziarul Puterea,Ziarul Puterea,1535,30
321890494859228,Vlad Gheorghe,Vlad Gheorghe,1090,21
108295090637741,ASAP România,Fundatia The Institute,967,13
291177524360702,Partidul Social Democrat,Partidul Social Democrat,956,16
100187575506085,Bogdan Balaniscu,Partidul Social Democrat,921,20
1559885467641191,Râul Alb,Râul Alb,682,15
574372066308729,Basism,Grupul de Investigatii Politice,648,1
686190454826244,Declic,Declic,436,37
108801900624850,Cojocaru Petru Bogdan,Partidul Social Democrat,429,8
971907786352729,USR Cluj,USR Cluj,415,7
123526378261795,Stiri Locale,Stiri Locale,409,5
114319753592403,AFACERI.news,Trend Communication,405,9
177357623816,Ziare.com,Ziare.com,381,1
2546711162025064,Politice.net,politice.net,367,5
1157480384268430,Partidul Umanist Social Liberal PUSL Sediul Central,Partidul Umanist Social Liberal,349,10
337159212964962,Ziua de Cluj,Ziua de Cluj,324,4
1156150484398630,MozaiQ,MozaiQ,303,1
1504323906337545,Litere.net,litere.net,286,3
102601499822802,RMDSZ,RMDSZ,282,8
149371012371397,Newsweek Romania,Newsweek Romania,260,4
731035500293728,Siegfried Muresan,Siegfried Muresan,246,2
1803548619924368,Andrei Gheorghiu,USR Vâlcea,243,3
102743169253473,Reciclăm în România,Reciclăm în România,236,18
364156627669948,Ștefan Pălărie,Ștefan Pălărie,235,2
113009310432947,Ilie Cheșa,Ilie Cheșa,208,6
207741001672,Speranta pentru Romania,Speranta pentru Romania,193,3
1577877239102295,Nicolae Ionel Ciucă,Partidul National Liberal,191,2
689386518104305,Radu Mihaiu,Uniunea Salvați România - Sector 2,187,1
612912695435095,Factual,Factual,179,7
395624153809868,Fundatia Renasterea,Sociallite Media Solutions,176,15
116657837994402,Partidul Câmpina Curată,Partidul Câmpina Curată,174,12
112664490103704,Salvăm România,Salvăm România,165,2
102626229459814,Spunem NU pasajului subteran,Partidul Câmpina Curată,156,10
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,155,18
177992992396061,SenioriNET,SenioriNET,154,8
523106417867452,Mircea Fechet,Mircea Fechet,152,2
114485501263050,George Lazăr,PNL Neamț,149,2
1047658422027323,Dan Ivan,Dan Ivan,137,2
102811079157174,USR Tineret Gorj,USR Tineret Gorj,135,1
106809077982489,"Fundatia ""Perfect Civic""",Fundația „Perfect Civic”,130,1
160699447395598,Saptamana in Oltenia,Saptamana in Oltenia,127,1
102718835134723,Dumitru Rujan,Dumitru Rujan,124,2
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,123,2
105634411790211,Coaliția pentru Egalitate de Gen,Coaliția pentru Egalitate de Gen,121,2
113873916863079,Mathias Corvinus Collegium - Erdély,Mathias Corvinus Collegium Egyesület,121,9
1653699758248627,Ion ȘTEFAN,Ion ȘTEFAN,120,1
112130176975380,Radu Ghidău,Radu Ghidău,118,2
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,114,2
103445844473825,Alianța pentru Unirea Românilor - AUR,Partidul Politic ALIANȚA PENTRU UNIREA ROMÂNILOR,114,1
104484254797326,Laura Vicol,Deputat Laura Vicol,108,1
747983061916032,Átlátszó Erdély,Átlátszó Erdély,107,8
340365952736683,Alin Nica,Alin Nica,107,2
1385405838141456,USR Prahova,USR Prahova,107,1
108304090952938,Mihai Weber,Mihai Weber,107,1
332064066854462,Monitorul de Cluj,Monitorul de Cluj SRL,106,1
1750327845246533,USR Maramureș,USR Maramureș,101,1
200813406761691,Corina Cretu,Corina Cretu,≤100,1
176989973158138,Guvernare.net,Guvernare.net,≤100,2
428654640523065,Mircea Rosca,Mircea Rosca,≤100,1
109097618335138,Eduard Mititelu,Eduard Mititelu,≤100,1
772662992868343,PNL Arges,PNL Arges,≤100,1
107066808189586,Panorama.ro,NEWBIZ ONLINE PUBLISHING S.R.L.,≤100,2
1164341813627057,Maria Gabriela Horga,Maria Gabriela Horga,≤100,6
205001282852200,Milvus Group,Asociatia GRUPUL MILVUS,≤100,6
821269587938298,Alina Gorghiu,Alina Gorghiu,≤100,3
205720146226089,Ziar Bicaz,Media PR Grup,≤100,1
509479962851716,Alexandru Kocsis,Romanii trebuie sa stie,≤100,5
111105537419564,Oana Murariu,Oana Murariu,≤100,2
396497857071198,Ziar Targu Neamt,Media PR Grup,≤100,2
116634326439880,Mindcraft Stories,Mindcraft Stories,≤100,5
509548582409324,Ghidul Primãriilor,Millenium Management Sistem SRL,≤100,4
104214448943442,Adrian Niță,Nita Adrian,≤100,1
698760586929790,USR Constanța,USR Constanța,≤100,1
225783874101141,Institutul pentru Politici Sociale,Institutul pentru Politici Sociale,≤100,8
708767705922205,Eurotrans Alapítvány,Eurotrans Alapítvány,≤100,12
901760756635357,USR Otopeni,USR Ilfov,≤100,1
181221645364365,Carmen Avram,Carmen Avram,≤100,2
428941830493010,Bankwatch Romania,Bankwatch Romania,≤100,1
321896004518929,Ioan Mang,Ioan Mang,≤100,2
1469610256621123,PNL Dambovita,PNL Dambovita,≤100,2
100174096112403,Presa Nemțeană,Presa Nemțeană,≤100,1
101340741758468,Radu Pescar,Radu Pescar,≤100,6
1738339926491503,Silviu Dehelean,Silviu Dehelean,≤100,1
341037705981172,Humanitas,These ads ran without a disclaimer,≤100,1
1723480164579572,USR Brașov,USR Brașov,≤100,1
106958054809964,Radu Perianu,Radu Perianu,≤100,1
102106432515274,Partidul Patriotilor,Partidul Patriotilor,≤100,2
329619180721358,Cosette Chichirău,Cosette Chichirău,≤100,1
360184320712594,Raluca Turcan,Partidul Naţional Liberal,≤100,5
107294142262018,Volt Alba,VOLT ROMÂNIA,≤100,1
177708185581280,Erdélyi Magyar Szövetség,Erdélyi Magyar Szövetség,≤100,3
112496975054462,Dragos Predescu,Dragos Predescu,≤100,1
1769713886444816,Râsu Plânsu,Râsu Plânsu,≤100,1
1051537758265686,USR Neamț,USR Neamt,≤100,1
1601334153417885,RMDSZ Kolozs Megye,RMDSZ Kolozs Megye,≤100,4
110583568433497,Partidul Umanist Social Liberal PUSL Filiala Galați,Digital Fairy Studio SRL,≤100,4
110661800329158,Valentin Ivancea,Valentin Ivancea,≤100,1
1847975788757673,PNL Curtea de Arges,PNL Arges,≤100,1
1046576302107963,Ciprian Serban,Ciprian Serban,≤100,1
101167822409042,Alexandru Gyorgy,Alexandru Gyorgy,≤100,1
130698233727400,Descoperă Eco-România,Descoperă Eco-România,≤100,2
109445158308624,De fapt,DeFapt.ro,≤100,1
111557897298537,Ciprian Alexandru,USR Giurgiu,≤100,1
109983011774065,Proiectul Romania 2030,Sociallite Media Solutions,≤100,2
110907250415580,Cristian Simoiu,Cristian Simoiu,≤100,5
722353611532676,Marian Arhire,USR Brașov,≤100,1
508572592666785,Alin Drăgulin,Alin Drăgulin,≤100,6
979547832069760,PNL Galati,PNL Galati,≤100,1
514264362028436,Stefan Musoiu,Stefan Musoiu,≤100,1
1140563426028729,PNL Pitești,PNL Pitești,≤100,1
104740995380818,Forța Dreptei Iași,Romanii trebuie sa stie,≤100,8
110137077322546,Kovács Mihály Levente,Kovács Mihály Levente,≤100,1
105999601301943,Ana Cătăuță,Ana Catauta,≤100,2
101763692272709,Avocat Ciuchi Elena-Corina,Cabinet de Avocat CIUCHI Elena-Corina,≤100,11
1653726584879481,Mihai Fifor,Fifor Mihai,≤100,2
106075378244914,Tomis Tv,Tomis Tv,≤100,5
