Location name,Amount spent (USD)
Azuay Province,3475
Bolívar Province,388
Carchi Province,458
Cañar Province,868
Chimborazo Province,1110
Cotopaxi Province,922
El Oro Province,3180
Esmeraldas Province,1899
Galápagos Province,202
Guayas Province,11384
Imbabura Province,1385
Loja Province,1377
Los Ríos Province,3330
Manabí Province,7207
Morona-Santiago Province,472
Napo Province,249
Orellana Province,599
Pastaza Province,494
Pichincha Province,8975
Santa Elena Province,876
Santo Domingo de los Tsáchilas Province,7078
Sucumbíos Province,678
Tungurahua Province,1640
Unknown,≤100
Zamora-Chinchipe Province,269
