Location name,Amount spent (INR)
Andaman and Nicobar Islands,262
Andhra Pradesh,45756
Arunachal Pradesh,1355
Assam,28069
Bihar,77953
Chandigarh,3509
Chhattisgarh,20787
Dadra and Nagar Haveli,1580
Delhi,67444
Goa,2737
Gujarat,66656
Haryana,51307
Himachal Pradesh,15526
Jammu and Kashmir,13497
Jharkhand,21000
Karnataka,128797
Kerala,22815
Lakshadweep,≤100
Madhya Pradesh,60645
Maharashtra,181222
Manipur,2998
Meghalaya,121473
Mizoram,1221
Nagaland,1192
Odisha,17728
Puducherry,2207
Punjab region,58270
Rajasthan,96036
Sikkim,1388
Tamil Nadu,40297
Telangana,60244
Tripura,19644
Unknown,≤100
Uttar Pradesh,150671
Uttarakhand,18380
West Bengal,94519
