Location name,Amount spent (SEK)
Blekinge County,3660
Dalarna County,7730
Gotland County,1848
Gävleborg County,7403
Halland County,7436
Jämtland County,3652
Jönköping County,8679
Kalmar County,5988
Kronoberg County,4362
Norrbotten County,6108
Skåne County,30949
Stockholm County,59392
Södermanland County,7443
Unknown,≤100
Uppsala County,9983
Värmland County,6532
Västerbotten County,7033
Västernorrland County,5985
Västmanland County,6584
Västra Götaland County,44838
Örebro County,7253
Östergötland County,10478
