Location name,Amount spent (AUD)
Australian Capital Territory,1493
Jervis Bay Territory,≤100
New South Wales,85947
Norfolk Island,≤100
Northern Territory,1076
Queensland,11152
South Australia,3522
Tasmania,1876
Unknown,≤100
Victoria,19485
Western Australia,6332
