Location name,Amount spent (DKK)
Capital Region of Denmark,42120
Central Denmark Region,19347
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8634
Region of Southern Denmark,17818
Unknown,≤100
Zealand Region,14260
