Location name,Amount spent (PKR)
Azad Kashmir,822
Balochistan,1058
Federally Administered Tribal Areas,1336
Gilgit-Baltistan,500
Islamabad Capital Territory,4940
Khyber Pakhtunkhwa,6244
Punjab,20596
Sindh,7787
Unknown,≤100
