Location name,Amount spent (SAR)
'Asir Region,242
Al Bahah Region,≤100
Al Jawf Region,≤100
Al Madinah Region,441
Al-Qassim Province,299
Eastern Province,1976
Ha'il Region,121
Jizan Region,154
Makkah Region,2519
Najran Region,≤100
Northern Borders Region,≤100
Riyadh Region,2897
Tabuk Region,176
Unknown,≤100
