Location name,Amount spent (PLN)
Greater Poland Voivodeship,4664
Kuyavian-Pomeranian Voivodeship,2860
Lesser Poland Voivodeship,4498
Lower Silesian Voivodeship,3781
Lublin Voivodeship,1816
Lubusz Voivodeship,1003
Masovian Voivodeship,9029
Opole Voivodeship,819
Podkarpackie Voivodeship,1664
Podlaskie Voivodeship,797
Pomeranian Voivodeship,3657
Silesian Voivodeship,4817
Unknown,≤100
Warmian-Masurian Voivodeship,4339
West Pomeranian Voivodeship,1736
Łódź Voivodeship,2714
Świętokrzyskie Voivodeship,1078
