Location name,Amount spent (MXN)
Aguascalientes,6492
Baja California,22044
Baja California Sur,3366
Campeche,8559
Chiapas,15450
Chihuahua,31687
Coahuila de Zaragoza,46840
Colima,11706
Distrito Federal,152488
Durango,8822
Guanajuato,29833
Guerrero,13244
Hidalgo,9671
Jalisco,126503
Michoacán de Ocampo,25383
Morelos,8912
Nayarit,4224
Nuevo León,102512
Oaxaca,15581
Puebla,40469
Querétaro Arteaga,20768
Quintana Roo,12584
San Luis Potosi,20205
Sinaloa,16076
Sonora,17783
State of Mexico,67807
Tabasco,8995
Tamaulipas,48791
Tlaxcala,19733
Unknown,≤100
Veracruz,39155
Yucatán,18399
Zacatecas,5027
