Location name,Amount spent (RON)
Alba County,428
Arad County,628
Argeș County,634
Bacău County,699
Bihor County,710
Bistrița-Năsăud County,417
Botoșani County,448
Brașov County,647
Brăila County,337
Bucharest,2698
Buzău County,404
Caraș-Severin County,364
Cluj County,1122
Constanța County,787
Covasna County,251
Călărași County,238
Dolj County,671
Dâmbovița County,462
Galați County,554
Giurgiu County,227
Gorj County,389
Harghita County,435
Hunedoara County,518
Ialomița County,195
Iași County,969
Ilfov County,388
Maramureș County,678
Mehedinți County,257
Mureș County,787
Neamț County,612
Olt County,323
Prahova County,1071
Satu Mare County,403
Sibiu County,519
Suceava County,714
Sălaj County,374
Teleorman County,290
Timiș County,882
Tulcea County,221
Unknown,≤100
Vaslui County,394
Vrancea County,400
Vâlcea County,395
