Location name,Amount spent (MXN)
Aguascalientes,10217
Baja California,30216
Baja California Sur,4184
Campeche,16669
Chiapas,22529
Chihuahua,35900
Coahuila de Zaragoza,280319
Colima,9351
Distrito Federal,183044
Durango,9852
Guanajuato,38315
Guerrero,13569
Hidalgo,14474
Jalisco,135141
Michoacán de Ocampo,46874
Morelos,20196
Nayarit,6122
Nuevo León,81125
Oaxaca,22189
Puebla,62516
Querétaro Arteaga,32708
Quintana Roo,53693
San Luis Potosi,13019
Sinaloa,17244
Sonora,26734
State of Mexico,560114
Tabasco,16434
Tamaulipas,32539
Tlaxcala,10684
Unknown,≤100
Veracruz,40752
Yucatán,21785
Zacatecas,7129
