Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,318
Apurímac Region,≤100
Arequipa Region,323
Ayacucho Region,120
Cajamarca Region,225
Callao,414
Cusco Region,231
Huancavelica Region,≤100
Huánuco Region,117
Ica Region,307
Junín Region,209
La Libertad Region,468
Lambayeque Region,317
Lima Region,2927
Loreto Region,491
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,556
Puno Region,273
San Martín Region,194
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,122
Unknown,≤100
