Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,442
Cerro Largo Department,105
Colonia Department,162
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,232
Montevideo Department,3012
Paysandú Department,160
Rivera Department,310
Rocha Department,≤100
Río Negro Department,166
Salto Department,347
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
